station_id,neighbor_station_id,rank,distance_km
82,95,1,0.25083141341497395
82,84,2,0.4457593331049376
82,80,3,0.4715838233198022
82,93,4,0.551240316265907
82,94,5,0.5967556249556881
83,97,1,0.2551594497896888
83,96,2,0.36541626531539545
83,85,3,0.5175734323984712
83,84,4,0.9052140650679866
83,82,5,1.2254666487592223
84,85,1,0.41514192913993253
84,82,2,0.4457593331049376
84,96,3,0.6233559184800056
84,95,4,0.6465468825643701
84,80,5,0.8478306214692903
85,96,1,0.3590479580583039
85,84,2,0.41514192913993253
85,83,3,0.5175734323984712
85,97,4,0.7683877809241279
85,82,5,0.815098508589046
86,92,1,0.07230463659416106
86,100,2,0.09966075519001903
86,93,3,0.5883136130500651
86,94,4,0.6749689401922103
86,75,5,0.6995581947157469
87,88,1,0.4270846420300611
87,75,2,0.5065994519948593
87,76,3,0.6342105328993516
87,74,4,0.6579550631537171
87,50,5,0.6880739945131362
88,50,1,0.26760856918491593
88,42,2,0.3910138099636374
88,35,3,0.3994308279400789
88,87,4,0.4270846420300611
88,74,5,0.5586657237162788
89,13,1,0.23411973592363727
89,114,2,0.33234716106218865
89,20,3,0.34579906445328307
89,39,4,0.3733966417230222
89,113,5,0.4554523562783588
90,117,1,0.19623522328332663
90,91,2,0.35217933343125823
90,66,3,0.3595753812313754
90,68,4,0.4109436477280704
90,67,5,0.41702878745956956
91,117,1,0.20901983791221562
91,90,2,0.35217933343125823
91,67,3,0.5612264720148085
91,68,4,0.69840826000267
91,66,5,0.7017011244024403
92,86,1,0.07230463659416106
92,100,2,0.08832210782112603
92,93,3,0.5160112074683308
92,94,4,0.6031153003274814
92,95,5,0.6717874063006725
93,94,1,0.10648620569801646
93,95,2,0.3004125335355713
93,92,3,0.5160112074683308
93,100,4,0.5448924878404322
93,82,5,0.551240316265907
94,93,1,0.10648620569801646
94,95,2,0.35225253197230605
94,82,3,0.5967556249556881
94,92,4,0.6031153003274814
94,100,5,0.6398363228303068
95,82,1,0.25083141341497395
95,93,2,0.3004125335355713
95,94,3,0.35225253197230605
95,80,4,0.536205614853791
95,84,5,0.6465468825643701
96,85,1,0.3590479580583039
96,83,2,0.36541626531539545
96,97,3,0.548296901545104
96,84,4,0.6233559184800056
96,82,5,0.8765271996156637
97,83,1,0.2551594497896888
97,96,2,0.548296901545104
97,85,3,0.7683877809241279
97,84,4,1.1409831840249873
97,82,5,1.4245265599861747
98,27,1,0.142509519124162
98,21,2,0.2730159799883523
98,36,3,0.41942499716294823
98,22,4,0.5484921657287808
98,26,5,0.5739271718136479
99,64,1,0.19471899554491756
99,48,2,0.24749239153763272
99,8,3,0.2517093574839489
99,62,4,0.2940851730451106
99,32,5,0.5405194349698961
100,92,1,0.08832210782112603
100,86,2,0.09966075519001903
100,93,3,0.5448924878404322
100,94,4,0.6398363228303068
100,80,5,0.645864628996614
101,4,1,0.38394906418078323
101,3,2,0.41675212753857177
101,116,3,0.5068911104692989
101,42,4,0.5269559600974912
101,35,5,0.5969927664663744
102,2,1,0.2491158783071596
102,116,2,0.32169364609980955
102,3,3,0.41902839614558857
102,30,4,0.47644060258969845
102,12,5,0.48057412504297004
103,104,1,0.06299531161138071
103,105,2,0.14697883837476025
103,50,3,0.5049045934635664
103,106,4,0.5079519608507775
103,42,5,0.5686309733425353
104,103,1,0.06299531161138071
104,105,2,0.08706285548366668
104,106,3,0.46827227042499603
104,108,4,0.5340844330439533
104,110,5,0.5375299551214833
105,104,1,0.08706285548366668
105,103,2,0.14697883837476025
105,106,3,0.39557462938124727
105,108,4,0.45662579045102836
105,110,5,0.5188694495400006
106,107,1,0.1715955530454882
106,105,2,0.39557462938124727
106,104,3,0.46827227042499603
106,108,4,0.4686330215861942
106,103,5,0.5079519608507775
107,106,1,0.1715955530454882
107,105,2,0.5257952835934266
107,104,3,0.5847446708332988
107,103,4,0.611410137126577
107,108,5,0.6359600642178502
108,110,1,0.43670042306950635
108,105,2,0.45662579045102836
108,106,3,0.4686330215861942
108,104,4,0.5340844330439533
108,103,5,0.5970632632184008
109,115,1,0.2557267520227673
109,38,2,0.47964081290591315
109,112,3,0.5585593786281219
109,8,4,0.6209668288605807
109,45,5,0.6918765966094075
110,116,1,0.23687704285751515
110,108,2,0.43670042306950635
110,102,3,0.5003644107127205
110,105,4,0.5188694495400006
110,104,5,0.5375299551214833
111,28,1,0.2514728211657009
111,44,2,0.5122546575338617
111,112,3,0.5474289983003191
111,60,4,0.5478810903563031
111,59,5,0.5725349441562375
112,111,1,0.5474289983003191
112,115,2,0.5528478997455327
112,109,3,0.5585593786281219
112,38,4,0.7773243218855298
112,28,5,0.7987253417547514
113,20,1,0.23069135634646812
113,25,2,0.24594466655130828
113,63,3,0.37583524733637586
113,26,4,0.39647554543144864
113,89,5,0.4554523562783588
114,19,1,0.31936735128052024
114,20,2,0.32794293930616675
114,89,3,0.33234716106218865
114,47,4,0.39102112912980963
114,39,5,0.505352219906023
115,109,1,0.2557267520227673
115,112,2,0.5528478997455327
115,38,3,0.7337909785118405
115,8,4,0.774090515202042
115,48,5,0.8672330549796675
116,110,1,0.23687704285751515
116,102,2,0.32169364609980955
116,3,3,0.4763623551721072
116,101,4,0.5068911104692989
116,2,5,0.517159661512572
117,90,1,0.19623522328332663
117,91,2,0.20901983791221562
117,67,3,0.37035350857442706
117,66,4,0.5084736021909685
117,68,5,0.6013590831816517
