segment,scenario,model,feature,importance
weekday,full,RandomForest,num__dewpt,0.007005515923769977
weekday,full,RandomForest,num__hour_cos,0.006838698829246094
weekday,full,RandomForest,num__cluster_id,0.006821750567921729
weekday,full,RandomForest,num__vappr,0.006363465696587795
weekday,full,RandomForest,num__is_peak,0.003085515099772136
weekday,full,RandomForest,num__month,0.002823206648763818
weekday,full,RandomForest,num__rain,0.0022855692281596785
weekday,full,RandomForest,num__rain_lag1h,0.0009704970262727972
weekday,full,RandomForest,num__neighbor_peak_ratio_lag_24h,0.0009583447271329146
weekday,full,RandomForest,cat__temp_category_10-20,0.00048434324330599886
weekday,full,RandomForest,num__rain_category,0.00048399440420820994
weekday,full,RandomForest,num__is_school_break,0.00024516224881956515
weekday,full,RandomForest,num__event_weight,0.0002301172275961125
weekday,full,RandomForest,num__is_public_holiday,0.00015937560184350178
weekday,full,RandomForest,cat__temp_category_<10,0.0001535163145714281
weekday,full,RandomForest,cat__temp_category_>20,9.064449426877557e-05
weekday,full,RandomForest,num__is_weekend,0.0
weekday,full,RandomForest,num__is_major_event,0.0
weekend,full,RandomForest,num__cluster_demand_lag_1h,0.32771806791810726
weekend,full,RandomForest,num__lag_168h_total_count,0.07747412650331444
weekend,full,RandomForest,num__lag_24h_total_count,0.06986054258795295
weekend,full,RandomForest,num__cluster_demand_lag_24h,0.060392552233750424
weekend,full,RandomForest,num__lag_1h_total_count,0.04280123446576412
weekend,full,RandomForest,num__lon,0.0372037665188807
weekend,full,RandomForest,num__lat,0.03527436961244291
weekend,full,RandomForest,num__msl,0.032157091800117145
weekend,full,RandomForest,num__station_id,0.03149869722193825
weekend,full,RandomForest,num__neighbor_sum_lag_1h,0.029566112073293044
weekend,full,RandomForest,num__neighbor_mean_lag_1h,0.02938043304415602
weekend,full,RandomForest,num__neighbor_sum_lag_24h,0.02679240978131931
weekend,full,RandomForest,num__neighbor_mean_lag_24h,0.02615960391778778
weekend,full,RandomForest,num__rhum,0.022753114136377164
weekend,full,RandomForest,num__temp,0.02184565734775142
weekend,full,RandomForest,num__hour_cos,0.01713166884299815
weekend,full,RandomForest,num__wetb,0.01700737061969241
weekend,full,RandomForest,num__days_to_next_event,0.013321882896179433
weekend,full,RandomForest,num__dewpt,0.011793314432372127
weekend,full,RandomForest,num__hour,0.0115231450786418
weekend,full,RandomForest,num__vappr,0.010876982997585605
weekend,full,RandomForest,num__hour_sin,0.010778510527100169
weekend,full,RandomForest,num__cluster_id,0.010460324338696047
weekend,full,RandomForest,num__days_since_prev_event,0.009391718186738588
weekend,full,RandomForest,num__month,0.0036515646653941373
weekend,full,RandomForest,num__day_of_week,0.003494681921341171
weekend,full,RandomForest,num__rain,0.002642000780364262
weekend,full,RandomForest,num__is_peak,0.001584810255212304
weekend,full,RandomForest,num__rain_lag1h,0.0013043176996919495
weekend,full,RandomForest,num__event_weight,0.0009116421258097529
weekend,full,RandomForest,cat__temp_category_10-20,0.0008177986126438822
weekend,full,RandomForest,num__is_school_break,0.0007918406681648389
weekend,full,RandomForest,num__rain_category,0.0006769661524486229
weekend,full,RandomForest,num__is_major_event,0.0005142197718195519
weekend,full,RandomForest,cat__temp_category_>20,0.00021295909780372186
weekend,full,RandomForest,cat__temp_category_<10,0.00018907425665284832
weekend,full,RandomForest,num__neighbor_peak_ratio_lag_24h,4.5426909695857016e-05
weekend,full,RandomForest,num__is_weekend,0.0
weekend,full,RandomForest,num__is_public_holiday,0.0
