scenario,segment,model,station_id,n,mae,rmse,mean_true,mean_pred
events_only,weekend,Ridge,9,216,2.330338928403304,3.396049573986478,3.2222222222222223,3.3220899594267106
events_only,weekend,Ridge,14,216,2.202561721729197,3.367449431015537,2.7685185185185186,2.9948079792760662
events_only,weekend,Ridge,23,216,1.9023699300919759,2.710529057130255,1.5601851851851851,2.3131789497135564
events_only,weekend,Ridge,29,216,1.6832409454783226,2.2487554105633842,1.9861111111111112,2.557796792974133
events_only,weekend,Ridge,1,216,1.673896812386842,2.0886533299476384,2.185185185185185,2.7360990290121827
events_only,weekend,Ridge,67,216,1.6605871152774507,2.338398281550853,1.6944444444444444,2.4296874612671524
events_only,weekend,Ridge,34,216,1.6443875822904321,2.1026460671687115,2.1666666666666665,2.7422270033306826
events_only,weekend,Ridge,8,216,1.635167281032903,2.442715268636618,1.087962962962963,2.1594799349959666
events_only,weekend,Ridge,35,216,1.6017655057365516,2.063556577298693,1.8287037037037037,2.4624354624247413
events_only,weekend,Ridge,52,216,1.5752272450864335,2.3789688187750704,1.212962962962963,1.9969485402602223
events_only,weekend,Ridge,10,216,1.5704498707887526,1.8558943972125688,1.5324074074074074,2.3596788849019803
events_only,weekend,Ridge,32,216,1.5342708569526506,2.098485890011787,1.1898148148148149,2.1547691327976994
events_only,weekend,Ridge,16,216,1.5337077476949377,2.0592315076891397,0.7870370370370371,1.8851420401656482
events_only,weekend,Ridge,28,216,1.5066207803346272,1.8028980109498816,1.2175925925925926,2.1708844842368693
events_only,weekend,Ridge,58,216,1.501410936404056,2.007865610494506,1.6990740740740742,2.3809146079547463
events_only,weekend,Ridge,42,216,1.4973363812217468,1.822245429594503,1.2685185185185186,2.142895732670541
events_only,weekend,Ridge,21,216,1.493549635695369,1.7706070749824372,1.2916666666666667,2.229063113873527
events_only,weekend,Ridge,49,216,1.4871453148696674,1.835184711981624,1.2731481481481481,2.1867681972087425
events_only,weekend,Ridge,69,216,1.4764971365299429,1.9236620441750985,1.9953703703703705,2.616117644088996
events_only,weekend,Ridge,24,216,1.4764701891445742,1.8730511989221108,1.9768518518518519,2.566301818566074
events_only,weekend,Ridge,60,216,1.4712485156180155,1.9154940599728492,1.6111111111111112,2.343229737387471
events_only,weekend,Ridge,5,216,1.4506600448136058,1.748068585877007,1.8564814814814814,2.6249741721898583
events_only,weekend,Ridge,27,216,1.4432374972951818,1.72990011923551,1.8564814814814814,2.4736092259064266
events_only,weekend,Ridge,31,216,1.4384587585905377,1.9198784131442759,1.6574074074074074,2.3609184048768035
events_only,weekend,Ridge,22,216,1.433653321051467,1.712295831676808,1.2824074074074074,2.222278337418911
events_only,weekend,Ridge,66,216,1.4270533726484413,1.7077870473970689,1.3842592592592593,2.262468235171942
events_only,weekend,Ridge,6,216,1.425330745793396,1.6645575166718962,1.337962962962963,2.2202503447826083
events_only,weekend,Ridge,77,216,1.406799016851853,1.9987980099713916,1.4722222222222223,2.0904041992842535
events_only,weekend,Ridge,63,216,1.405836327567209,1.8219176397390577,0.7361111111111112,1.759476738957874
events_only,weekend,Ridge,64,216,1.4053843714291299,1.7706896519933886,0.8518518518518519,1.8718281209154737
events_only,weekend,Ridge,3,216,1.4035567373034654,1.643834857168421,1.1435185185185186,2.156339697004528
events_only,weekend,Ridge,19,216,1.401813272332652,1.700193464810684,1.5648148148148149,2.3958707969455673
events_only,weekend,Ridge,43,216,1.3976100494738768,1.6872790218073808,1.2962962962962963,2.1299190093212252
events_only,weekend,Ridge,26,216,1.3909124554797798,1.5745629932685568,0.7222222222222222,1.9111449550753135
events_only,weekend,Ridge,13,216,1.3834820393165,1.5218615715762789,0.4027777777777778,1.66482225881997
events_only,weekend,Ridge,11,216,1.3715791656602918,1.5240825376180378,0.3472222222222222,1.6229687732314348
events_only,weekend,Ridge,20,216,1.371484818192989,1.5225547971206297,0.2962962962962963,1.6335603537798615
events_only,weekend,Ridge,68,216,1.366949626443154,1.6562033411952048,1.7546296296296295,2.418267898577241
events_only,weekend,Ridge,2,216,1.365116579684307,1.5432384497623293,0.6388888888888888,1.8497534795401114
events_only,weekend,Ridge,4,216,1.364051760417338,1.603986430474889,0.7361111111111112,1.8802605768221885
events_only,weekend,Ridge,56,216,1.3632256967395182,1.7218540007040068,1.1527777777777777,2.0504801040093126
events_only,weekend,Ridge,40,216,1.3544117010792485,1.6636070911432241,1.6851851851851851,2.3356760763690243
events_only,weekend,Ridge,39,216,1.3462833150060456,1.5630283531176348,0.9675925925925926,1.9954435153127579
events_only,weekend,Ridge,45,216,1.3455729394042382,1.6423059483058111,0.9490740740740741,1.8980648002353517
events_only,weekend,Ridge,76,216,1.3445847187540902,1.6633386115871625,0.9583333333333334,1.7519904102851755
events_only,weekend,Ridge,12,216,1.3428637951415525,1.536320025295588,0.5972222222222222,1.8304016441427537
events_only,weekend,Ridge,112,216,1.3417597744069472,1.6524096613047763,1.5833333333333333,2.1758219273172923
events_only,weekend,Ridge,7,216,1.3395726015507246,1.586106791404206,1.0231481481481481,2.026910552288678
events_only,weekend,Ridge,44,216,1.3395155176087696,1.5957669655711177,0.8009259259259259,1.8825362508870451
events_only,weekend,Ridge,18,216,1.3248923400654018,1.6115746167870248,1.6574074074074074,2.418621290120627
events_only,weekend,Ridge,30,216,1.323814222637033,1.4892833836773074,0.4537037037037037,1.6663390906422626
events_only,weekend,Ridge,48,216,1.3225301557370344,1.5623122551582338,0.9305555555555556,1.9525337998477912
events_only,weekend,Ridge,15,216,1.3219535007502903,1.4935215345697277,0.5925925925925926,1.8129475171555802
events_only,weekend,Ridge,90,216,1.3184268138885042,1.6017164064665728,1.0509259259259258,1.916243437435911
